StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q18,Q20,Q22,Q24,Q26,Q27,Q28,Q29,Q30
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent:,I am,I am,"What is your high school Grade Point Average (GPA) on a 4.0 scale? If your school used a 5.0 scale, multiply your GPA by 0.8 to put it on a 4.0 scale.",What is your classification?,I am,I consider my family,"On average, how many hours do you study each week (including the time doing homework)?","On average, how many hours of sleep do you get each night?","On average, how many hours do you work each week?","On average, how many hours do you spend engaging in extracurricular activities (e.g. clubs, organizations, sports, band, etc.) each week?","On a scale from 1-5, how would you describe your time management skills?",Do you believe your class/university provides sufficient resources to help you with your coursework?,Do you believe your professors give you enough time to complete your assignments?,"How many of the following statements are true?



Statement A: During your time in college, you have used generative AI tools (e.g. ChatGPT, Gemini, Preplexity, Claude, Copilot, etc.) to cheat on an assignment or a test where AI tools were not allowed per the course policy.



Statement B: The number you selected from the list on the previous page is included in the set below.

 

	
		
			62
			44
			8
			19
			93","How many of the following statements are true?



Statement A: During your time in college, you have paid other individuals (e.g. peers, former students, tutors, etc.) for assignment or test answers.



Statement B: The number you selected from the list on the previous page is included in the set below.

 

	
		
			81
			39
			50
			97
			16","How many of the following statements are true?



Statement A: During your time in college, you have used paid or unpaid online services (e.g. Chegg, Numerade) to access assignment or test answers.



Statement B: The number you selected from the list on the previous page is included in the set below.

 

	
		
			42
			36
			69
			53
			71","How many of the following statements are true?



Statement A: During your time in college, you have used a group chat (e.g. GroupMe) to cheat on an assignment or test. [Note: collaboration on assignments where permitted by the course policy is NOT considered cheating.]



Statement B: The number you selected from the list on the previous page is included in the set below.

 

	
		
			23
			34
			89
			77
			56","How many of the following statements are true?



Statement A: You have used a drone or other remote-controlled device to access answers during a test.



Statement B: The number you selected from the list on the previous page is included in the set below.

 

	
		
			83
			21
			60
			4
			76","During your time in college, how often have you seen other students use generative AI tools (e.g. ChatGPT, Gemini, Preplexity, Claude, Copilot, etc.) to cheat on assignments or tests where AI tools were not allowed per the course policy?","During your time in college, how often have you seen other students cheat on assignments or tests by seeking help from peers, former students, or tutors?","During your time in college, how often have you seen other students use online services (e.g. Chegg, Numerade) to cheat on assignments or tests?","During your time in college, how often have you seen other students use group chats (e.g. GroupMe) to cheat on assignments or tests? [Note: collaboration on assignments where permitted by the course policy is NOT considered cheating.]"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID31""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID68""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}"
2024-10-25 09:28:56,2024-10-25 09:29:01,Survey Preview,100,4,True,2024-10-25 09:29:02,R_1YxZxLdcqR9r5Sp,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2024-10-29 20:53:48,2024-10-29 20:53:59,Survey Preview,100,10,True,2024-10-29 20:53:59,R_1xJJHKRDfctrPV2,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2024-10-29 20:54:04,2024-10-29 20:59:11,Survey Preview,100,307,True,2024-10-29 20:59:12,R_1Iu17Lc8nVRgyzv,preview,EN,I voluntarily consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,
2024-10-30 07:43:05,2024-10-30 07:43:11,Survey Preview,100,6,True,2024-10-30 07:43:12,R_1QsstSzFcVEwoyi,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06 03:26:05,2025-02-06 03:26:13,Survey Preview,100,8,True,2025-02-06 03:26:14,R_7ayOEPLyolM1Cj7,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2025-02-10 08:04:08,2025-02-10 08:04:38,Survey Preview,100,29,True,2025-02-10 08:04:40,R_6dWGP9Zqb5fmvlF,preview,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,
2025-02-10 08:04:44,2025-02-10 08:11:29,Survey Preview,100,404,True,2025-02-10 08:11:29,R_63VN1OMtrLmVC1z,preview,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,7 – 9 hours,16 – 20 hours,0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,"(a) Both statements are true, or neither statement is true.","(a) Both statements are true, or neither statement is true.","(a) Both statements are true, or neither statement is true.","(a) Both statements are true, or neither statement is true.",(b) Only one statement is true.,Rarely,Often,Sometimes,Often
2025-02-10 20:08:02,2025-02-10 20:09:32,Survey Preview,100,89,True,2025-02-10 20:09:32,R_6vllcrURFj8FWIA,preview,EN,I voluntarily consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,
